D1(km) D2(km) Fission number flux(fission/cm^2) [U235,U238,Pu239,Pu241]
   0   25  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  25   50  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  50   75  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  75  100  7.607167e+11 1.010018e+11 3.986357e+11 7.947312e+10
 100  125  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 125  150  2.515151e+12 3.531436e+11 1.309065e+12 2.349392e+11
 150  175  2.636478e+12 3.578637e+11 1.449826e+12 3.017085e+11
 175  200  3.805156e+12 5.524455e+11 2.008506e+12 3.544056e+11
 200  225  5.450376e+11 7.499991e+10 3.084790e+11 6.230310e+10
 225  250  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 250  275  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 275  300  1.824217e+11 2.566876e+10 1.080335e+11 2.298736e+10
 300  325  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 325  350  5.389535e+11 7.212189e+10 2.877228e+11 5.902264e+10
 350  375  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 375  400  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 400  425  1.151672e+11 1.531188e+10 6.054655e+10 1.224769e+10
 425  450  1.548995e+11 1.990010e+10 7.580203e+10 1.303234e+10
 450  475  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 475  500  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 500  525  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 525  550  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 550  575  9.577854e+10 1.359798e+10 4.926248e+10 8.884929e+09
 575  600  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 600  625  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 625  650  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 650  675  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 675  700  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 700  725  2.222616e+11 3.152956e+10 1.132416e+11 2.010469e+10
 725  750  1.013992e+11 1.438409e+10 5.166192e+10 9.172000e+09
 750  775  9.155953e+10 1.359493e+10 5.062475e+10 9.220732e+09
 775  800  2.774757e+10 3.913515e+09 1.415300e+10 2.553614e+09
 800  825  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 825  850  4.134464e+10 5.840020e+09 2.087991e+10 3.712186e+09
 850  875  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 875  900  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 900  925  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 925  950  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 950  975  0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 975 1000  9.269532e+10 1.314935e+10 4.722713e+10 8.384654e+09

